case_id,invoice_id,expected_status,expected_reason
RC-0001,INV-2026-0001,MATCHED,
RC-0002,INV-2026-0002,MATCHED,
RC-0003,INV-2026-0003,MATCHED,
RC-0004,INV-2026-0004,MATCHED,
RC-0005,INV-2026-0005,MATCHED,
RC-0006,INV-2026-0006,AI_ASSISTED,vendor_name_variation
RC-0007,INV/2026/0007,AI_ASSISTED,invoice_id_format_variation
RC-0008,INV-2026-0008,NEEDS_REVIEW,amount_mismatch
RC-0009,INV-2026-0009,AI_ASSISTED,date_variation
RC-0010,INV-2026-0010,MATCHED,
RC-0011,INV-2026-0011,MATCHED,
RC-0012,INV-2026-0012,MATCHED,
RC-0013,INV-2026-0013,MATCHED,
RC-0014,INV-2026-0014,AI_ASSISTED,vendor_name_variation
RC-0015,INV/2026/0015,AI_ASSISTED,invoice_id_format_variation
RC-0016,INV-2026-0016,NEEDS_REVIEW,amount_mismatch
RC-0017,INV-2026-0017,AI_ASSISTED,date_variation
RC-0018,INV-2026-0018,MATCHED,
RC-0019,INV-2026-0019,MATCHED,
RC-0020,INV-2026-0020,MATCHED,
RC-0021,INV-2026-0021,MATCHED,
RC-0022,INV-2026-0022,AI_ASSISTED,vendor_name_variation
RC-0023,INV/2026/0023,AI_ASSISTED,invoice_id_format_variation
RC-0024,INV-2026-0024,NEEDS_REVIEW,amount_mismatch
RC-0025,INV-2026-0025,AI_ASSISTED,date_variation
RC-0026,INV-2026-0026,UNRESOLVED,missing_po
RC-0027,INV-2026-0027,MATCHED,
RC-0028,INV-2026-0028,MATCHED,
RC-0029,INV-2026-0029,MATCHED,
RC-0030,INV-2026-0030,AI_ASSISTED,vendor_name_variation
RC-0031,INV-2026-0031,MATCHED,
RC-0032,INV-2026-0032,NEEDS_REVIEW,amount_mismatch
RC-0033,INV-2026-0033,MATCHED,
RC-0034,INV-2026-0034,MATCHED,
RC-0035,INV-2026-0035,MATCHED,
RC-0036,INV-2026-0036,MATCHED,
RC-0037,INV-2026-0037,MATCHED,
RC-0038,INV-2026-0038,AI_ASSISTED,vendor_name_variation
RC-0039,INV-2026-0039,MATCHED,
RC-0040,INV-2026-0040,MATCHED,
RC-0041,INV-2026-0041,MATCHED,
RC-0042,INV-2026-0042,MATCHED,
RC-0043,INV-2026-0043,MATCHED,
RC-0044,INV-2026-0044,MATCHED,
RC-0045,INV-2026-0045,MATCHED,
RC-0046,INV-2026-0046,MATCHED,
RC-0047,INV-2026-0047,MATCHED,
RC-0048,INV-2026-0048,MATCHED,
RC-0049,INV-2026-0049,MATCHED,
RC-0050,INV-2026-0050,MATCHED,
RC-0051,INV-2026-0020-DUP,NEEDS_REVIEW,duplicate_invoice
