invoice_id,po_id,vendor_id,vendor_name,invoice_amount,invoice_date,currency
INV-2026-0001,PO-2026-0001,V001,Apex Cloud Services Pvt Ltd,5137,2026-08-02,INR
INV-2026-0002,PO-2026-0002,V002,Bright Office Supplies,5274,2026-08-03,INR
INV-2026-0003,PO-2026-0003,V003,Nova Tech Solutions Pvt Ltd,5411,2026-08-04,INR
INV-2026-0004,PO-2026-0004,V004,BluePeak Marketing,5548,2026-08-05,INR
INV-2026-0005,PO-2026-0005,V005,GreenGrid Energy,5685,2026-08-06,INR
INV-2026-0006,PO-2026-0006,V006,Prime Logistics,5822,2026-08-07,INR
INV/2026/0007,PO-2026-0007,V007,Urban Foods Pvt Ltd,5959,2026-08-08,INR
INV-2026-0008,PO-2026-0008,V008,SecureNet Systems,6098,2026-08-09,INR
INV-2026-0009,PO-2026-0009,V009,DataSphere Analytics,6233,2026-08-12,INR
INV-2026-0010,PO-2026-0010,V010,Vertex Consulting Services,6370,2026-08-11,INR
INV-2026-0011,PO-2026-0011,V001,Apex Cloud Services Pvt Ltd,6507,2026-08-12,INR
INV-2026-0012,PO-2026-0012,V002,Bright Office Supplies,6644,2026-08-13,INR
INV-2026-0013,PO-2026-0013,V003,Nova Tech Solutions Pvt Ltd,6781,2026-08-14,INR
INV-2026-0014,PO-2026-0014,V004,Blue Peak Marketing,6918,2026-08-15,INR
INV/2026/0015,PO-2026-0015,V005,GreenGrid Energy,7055,2026-08-16,INR
INV-2026-0016,PO-2026-0016,V006,Prime Logistics India,7194,2026-08-17,INR
INV-2026-0017,PO-2026-0017,V007,Urban Foods Pvt Ltd,7329,2026-08-20,INR
INV-2026-0018,PO-2026-0018,V008,SecureNet Systems,7466,2026-08-19,INR
INV-2026-0019,PO-2026-0019,V009,DataSphere Analytics,7603,2026-08-20,INR
INV-2026-0020,PO-2026-0020,V010,Vertex Consulting Services,7740,2026-08-21,INR
INV-2026-0021,PO-2026-0021,V001,Apex Cloud Services Pvt Ltd,7877,2026-08-22,INR
INV-2026-0022,PO-2026-0022,V002,Bright Office Supply Co.,8014,2026-08-23,INR
INV/2026/0023,PO-2026-0023,V003,Nova Tech Solutions Pvt Ltd,8151,2026-08-24,INR
INV-2026-0024,PO-2026-0024,V004,BluePeak Marketing,8290,2026-08-25,INR
INV-2026-0025,PO-2026-0025,V005,GreenGrid Energy,8425,2026-08-28,INR
INV-2026-0026,PO-2026-9999,V006,Prime Logistics India,8562,2026-08-27,INR
INV-2026-0027,PO-2026-0027,V007,Urban Foods Pvt Ltd,8699,2026-08-28,INR
INV-2026-0028,PO-2026-0028,V008,SecureNet Systems,8836,2026-08-01,INR
INV-2026-0029,PO-2026-0029,V009,DataSphere Analytics,8973,2026-08-02,INR
INV-2026-0030,PO-2026-0030,V010,Vertex Consulting,9110,2026-08-03,INR
INV-2026-0031,PO-2026-0031,V001,Apex Cloud Services Pvt Ltd,9247,2026-08-04,INR
INV-2026-0032,PO-2026-0032,V002,Bright Office Supplies,9386,2026-08-05,INR
INV-2026-0033,PO-2026-0033,V003,Nova Tech Solutions Pvt Ltd,9521,2026-08-06,INR
INV-2026-0034,PO-2026-0034,V004,BluePeak Marketing,9658,2026-08-07,INR
INV-2026-0035,PO-2026-0035,V005,GreenGrid Energy,9795,2026-08-08,INR
INV-2026-0036,PO-2026-0036,V006,Prime Logistics India,9932,2026-08-09,INR
INV-2026-0037,PO-2026-0037,V007,Urban Foods Pvt Ltd,10069,2026-08-10,INR
INV-2026-0038,PO-2026-0038,V008,Secure Net Systems,10206,2026-08-11,INR
INV-2026-0039,PO-2026-0039,V009,DataSphere Analytics,10343,2026-08-12,INR
INV-2026-0040,PO-2026-0040,V010,Vertex Consulting Services,10480,2026-08-13,INR
INV-2026-0041,PO-2026-0041,V001,Apex Cloud Services Pvt Ltd,10617,2026-08-14,INR
INV-2026-0042,PO-2026-0042,V002,Bright Office Supplies,10754,2026-08-15,INR
INV-2026-0043,PO-2026-0043,V003,Nova Tech Solutions Pvt Ltd,10891,2026-08-16,INR
INV-2026-0044,PO-2026-0044,V004,BluePeak Marketing,11028,2026-08-17,INR
INV-2026-0045,PO-2026-0045,V005,GreenGrid Energy,11165,2026-08-18,INR
INV-2026-0046,PO-2026-0046,V006,Prime Logistics India,11302,2026-08-19,INR
INV-2026-0047,PO-2026-0047,V007,Urban Foods Pvt Ltd,11439,2026-08-20,INR
INV-2026-0048,PO-2026-0048,V008,SecureNet Systems,11576,2026-08-21,INR
INV-2026-0049,PO-2026-0049,V009,DataSphere Analytics,11713,2026-08-22,INR
INV-2026-0050,PO-2026-0050,V010,Vertex Consulting Services,11850,2026-08-23,INR
INV-2026-0020-DUP,PO-2026-0020,V010,Vertex Consulting Services,7740,2026-08-21,INR
