payment_id,po_id,invoice_id,vendor_id,vendor_name,payment_amount,payment_date,status,payment_reference
PAY-2026-0001,PO-2026-0001,INV-2026-0001,V001,Apex Cloud Services Pvt Ltd,5137,2026-08-02,processed,RZPX-000001
PAY-2026-0002,PO-2026-0002,INV-2026-0002,V002,Bright Office Supplies,5274,2026-08-03,processed,RZPX-000002
PAY-2026-0003,PO-2026-0003,INV-2026-0003,V003,Nova Tech Solutions Pvt Ltd,5411,2026-08-04,processed,RZPX-000003
PAY-2026-0004,PO-2026-0004,INV-2026-0004,V004,BluePeak Marketing,5548,2026-08-05,processed,RZPX-000004
PAY-2026-0005,PO-2026-0005,INV-2026-0005,V005,GreenGrid Energy,5685,2026-08-06,processed,RZPX-000005
PAY-2026-0006,PO-2026-0006,INV-2026-0006,V006,Prime Logistics India,5822,2026-08-07,processed,RZPX-000006
PAY-2026-0007,PO-2026-0007,INV-2026-0007,V007,Urban Foods Pvt Ltd,5959,2026-08-08,processed,RZPX-000007
PAY-2026-0008,PO-2026-0008,INV-2026-0008,V008,SecureNet Systems,6096,2026-08-09,processed,RZPX-000008
PAY-2026-0009,PO-2026-0009,INV-2026-0009,V009,DataSphere Analytics,6233,2026-08-10,processed,RZPX-000009
PAY-2026-0011,PO-2026-0011,INV-2026-0011,V001,Apex Cloud Services Pvt Ltd,6507,2026-08-12,processed,RZPX-000011
PAY-2026-0012,PO-2026-0012,INV-2026-0012,V002,Bright Office Supplies,6644,2026-08-13,processed,RZPX-000012
PAY-2026-0013,PO-2026-0013,INV-2026-0013,V003,Nova Tech Solutions Pvt Ltd,6781,2026-08-14,processed,RZPX-000013
PAY-2026-0014,PO-2026-0014,INV-2026-0014,V004,BluePeak Marketing,6918,2026-08-15,processed,RZPX-000014
PAY-2026-0015,PO-2026-0015,INV-2026-0015,V005,GreenGrid Energy,7055,2026-08-16,processed,RZPX-000015
PAY-2026-0016,PO-2026-0016,INV-2026-0016,V006,Prime Logistics India,7192,2026-08-17,processed,RZPX-000016
PAY-2026-0017,PO-2026-0017,INV-2026-0017,V007,Urban Foods Pvt Ltd,7329,2026-08-18,processed,RZPX-000017
PAY-2026-0019,PO-2026-0019,INV-2026-0019,V009,DataSphere Analytics,7603,2026-08-20,processed,RZPX-000019
PAY-2026-0020,PO-2026-0020,INV-2026-0020,V010,Vertex Consulting Services,7740,2026-08-21,processed,RZPX-000020
PAY-2026-0021,PO-2026-0021,INV-2026-0021,V001,Apex Cloud Services Pvt Ltd,7877,2026-08-22,processed,RZPX-000021
PAY-2026-0022,PO-2026-0022,INV-2026-0022,V002,Bright Office Supplies,8014,2026-08-23,processed,RZPX-000022
PAY-2026-0023,PO-2026-0023,INV-2026-0023,V003,Nova Tech Solutions Pvt Ltd,8151,2026-08-24,processed,RZPX-000023
PAY-2026-0024,PO-2026-0024,INV-2026-0024,V004,BluePeak Marketing,8288,2026-08-25,processed,RZPX-000024
PAY-2026-0025,PO-2026-0025,INV-2026-0025,V005,GreenGrid Energy,8425,2026-08-26,processed,RZPX-000025
PAY-2026-0026,PO-2026-0026,INV-2026-0026,V006,Prime Logistics India,8562,2026-08-27,processed,RZPX-000026
PAY-2026-0028,PO-2026-0028,INV-2026-0028,V008,SecureNet Systems,8786,2026-08-01,processed,RZPX-000028
PAY-2026-0029,PO-2026-0029,INV-2026-0029,V009,DataSphere Analytics,8973,2026-08-02,processed,RZPX-000029
PAY-2026-0030,PO-2026-0030,INV-2026-0030,V010,Vertex Consulting Services,9110,2026-08-03,processed,RZPX-000030
PAY-2026-0031,PO-2026-0031,INV-2026-0031,V001,Apex Cloud Services Pvt Ltd,9247,2026-08-04,processed,RZPX-000031
PAY-2026-0032,PO-2026-0032,INV-2026-0032,V002,Bright Office Supplies,9384,2026-08-05,processed,RZPX-000032
PAY-2026-0033,PO-2026-0033,INV-2026-0033,V003,Nova Tech Solutions Pvt Ltd,9521,2026-08-06,processed,RZPX-000033
PAY-2026-0034,PO-2026-0034,INV-2026-0034,V004,BluePeak Marketing,9658,2026-08-07,processed,RZPX-000034
PAY-2026-0036,PO-2026-0036,INV-2026-0036,V006,Prime Logistics India,9932,2026-08-09,processed,RZPX-000036
PAY-2026-0037,PO-2026-0037,INV-2026-0037,V007,Urban Foods Pvt Ltd,10069,2026-08-10,processed,RZPX-000037
PAY-2026-0038,PO-2026-0038,INV-2026-0038,V008,SecureNet Systems,10206,2026-08-11,processed,RZPX-000038
PAY-2026-0039,PO-2026-0039,INV-2026-0039,V009,DataSphere Analytics,10343,2026-08-12,processed,RZPX-000039
PAY-2026-0040,PO-2026-0040,INV-2026-0040,V010,Vertex Consulting Services,10480,2026-08-13,processed,RZPX-000040
PAY-2026-0041,PO-2026-0041,INV-2026-0041,V001,Apex Cloud Services Pvt Ltd,10617,2026-08-14,processed,RZPX-000041
PAY-2026-0042,PO-2026-0042,INV-2026-0042,V002,Bright Office Supplies,10754,2026-08-15,processed,RZPX-000042
PAY-2026-0043,PO-2026-0043,INV-2026-0043,V003,Nova Tech Solutions Pvt Ltd,10891,2026-08-16,processed,RZPX-000043
PAY-2026-0044,PO-2026-0044,INV-2026-0044,V004,BluePeak Marketing,11028,2026-08-17,processed,RZPX-000044
PAY-2026-0045,PO-2026-0045,INV-2026-0045,V005,GreenGrid Energy,11165,2026-08-18,processed,RZPX-000045
PAY-2026-0046,PO-2026-0046,INV-2026-0046,V006,Prime Logistics India,11302,2026-08-19,processed,RZPX-000046
PAY-2026-0047,PO-2026-0047,INV-2026-0047,V007,Urban Foods Pvt Ltd,11439,2026-08-20,processed,RZPX-000047
PAY-2026-0048,PO-2026-0048,INV-2026-0048,V008,SecureNet Systems,11576,2026-08-21,processed,RZPX-000048
PAY-2026-0049,PO-2026-0049,INV-2026-0049,V009,DataSphere Analytics,11713,2026-08-22,processed,RZPX-000049
PAY-2026-0050,PO-2026-0050,INV-2026-0050,V010,Vertex Consulting Services,11850,2026-08-23,processed,RZPX-000050
