receipt_id,po_id,vendor_id,receipt_date,received_amount,received,notes
GRN-2026-0001,PO-2026-0001,V001,2026-08-02,5137,YES,Service/product received and accepted.
GRN-2026-0002,PO-2026-0002,V002,2026-08-03,5274,YES,Service/product received and accepted.
GRN-2026-0003,PO-2026-0003,V003,2026-08-04,5411,YES,Service/product received and accepted.
GRN-2026-0004,PO-2026-0004,V004,2026-08-05,5548,YES,Service/product received and accepted.
GRN-2026-0005,PO-2026-0005,V005,2026-08-06,5685,YES,Service/product received and accepted.
GRN-2026-0006,PO-2026-0006,V006,2026-08-07,5822,YES,Service/product received and accepted.
GRN-2026-0007,PO-2026-0007,V007,2026-08-08,5959,YES,Service/product received and accepted.
GRN-2026-0008,PO-2026-0008,V008,2026-08-09,6096,YES,Service/product received and accepted.
GRN-2026-0009,PO-2026-0009,V009,2026-08-10,6233,YES,Service/product received and accepted.
GRN-2026-0010,PO-2026-0010,V010,2026-08-11,6370,YES,Service/product received and accepted.
GRN-2026-0011,PO-2026-0011,V001,2026-08-12,6507,YES,Service/product received and accepted.
GRN-2026-0013,PO-2026-0013,V003,2026-08-14,6781,YES,Service/product received and accepted.
GRN-2026-0014,PO-2026-0014,V004,2026-08-15,6918,YES,Service/product received and accepted.
GRN-2026-0015,PO-2026-0015,V005,2026-08-16,7055,YES,Service/product received and accepted.
GRN-2026-0016,PO-2026-0016,V006,2026-08-17,7192,YES,Service/product received and accepted.
GRN-2026-0017,PO-2026-0017,V007,2026-08-18,7329,YES,Service/product received and accepted.
GRN-2026-0018,PO-2026-0018,V008,2026-08-19,7466,YES,Service/product received and accepted.
GRN-2026-0019,PO-2026-0019,V009,2026-08-20,7603,YES,Service/product received and accepted.
GRN-2026-0021,PO-2026-0021,V001,2026-08-22,7877,YES,Service/product received and accepted.
GRN-2026-0022,PO-2026-0022,V002,2026-08-23,8014,YES,Service/product received and accepted.
GRN-2026-0023,PO-2026-0023,V003,2026-08-24,8151,YES,Service/product received and accepted.
GRN-2026-0024,PO-2026-0024,V004,2026-08-25,8288,YES,Service/product received and accepted.
GRN-2026-0025,PO-2026-0025,V005,2026-08-26,8425,YES,Service/product received and accepted.
GRN-2026-0026,PO-2026-0026,V006,2026-08-27,8562,YES,Service/product received and accepted.
GRN-2026-0027,PO-2026-0027,V007,2026-08-28,8699,YES,Service/product received and accepted.
GRN-2026-0028,PO-2026-0028,V008,2026-08-01,8836,YES,Service/product received and accepted.
GRN-2026-0029,PO-2026-0029,V009,2026-08-02,8973,YES,Service/product received and accepted.
GRN-2026-0030,PO-2026-0030,V010,2026-08-03,9110,YES,Service/product received and accepted.
GRN-2026-0031,PO-2026-0031,V001,2026-08-04,9247,YES,Service/product received and accepted.
GRN-2026-0032,PO-2026-0032,V002,2026-08-05,9384,YES,Service/product received and accepted.
GRN-2026-0033,PO-2026-0033,V003,2026-08-06,9521,YES,Service/product received and accepted.
GRN-2026-0034,PO-2026-0034,V004,2026-08-07,9658,YES,Service/product received and accepted.
GRN-2026-0035,PO-2026-0035,V005,2026-08-08,9795,YES,Service/product received and accepted.
GRN-2026-0036,PO-2026-0036,V006,2026-08-09,9932,YES,Service/product received and accepted.
GRN-2026-0037,PO-2026-0037,V007,2026-08-10,10069,YES,Service/product received and accepted.
GRN-2026-0038,PO-2026-0038,V008,2026-08-11,10206,YES,Service/product received and accepted.
GRN-2026-0039,PO-2026-0039,V009,2026-08-12,10343,YES,Service/product received and accepted.
GRN-2026-0040,PO-2026-0040,V010,2026-08-13,10480,YES,Service/product received and accepted.
GRN-2026-0041,PO-2026-0041,V001,2026-08-14,10617,YES,Service/product received and accepted.
GRN-2026-0042,PO-2026-0042,V002,2026-08-15,10754,YES,Service/product received and accepted.
GRN-2026-0043,PO-2026-0043,V003,2026-08-16,10891,YES,Service/product received and accepted.
GRN-2026-0044,PO-2026-0044,V004,2026-08-17,11028,YES,Service/product received and accepted.
GRN-2026-0045,PO-2026-0045,V005,2026-08-18,11165,YES,Service/product received and accepted.
GRN-2026-0046,PO-2026-0046,V006,2026-08-19,11302,YES,Service/product received and accepted.
GRN-2026-0047,PO-2026-0047,V007,2026-08-20,11439,YES,Service/product received and accepted.
GRN-2026-0048,PO-2026-0048,V008,2026-08-21,11576,YES,Service/product received and accepted.
GRN-2026-0049,PO-2026-0049,V009,2026-08-22,11713,YES,Service/product received and accepted.
GRN-2026-0050,PO-2026-0050,V010,2026-08-23,11850,YES,Service/product received and accepted.
